num_features,NeuralNetwork,TeacherStudents,DAE,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
36,0.818,0.8155000000000001,0.9189999999999999,0.845,0.8585,0.8029999999999999,0.8154999999999999,0.806
35,0.764,0.8300000000000001,0.921,0.8875,0.8530000000000001,0.8764999999999998,0.759,0.849
34,0.7745,0.8675,0.924,0.8525,0.7630000000000001,0.852,0.8140000000000001,0.819
33,0.7125,0.7929999999999999,0.9215,0.8379999999999999,0.825,0.7495,0.7589999999999999,0.8175000000000001
32,0.7245000000000001,0.8765000000000001,0.9175000000000001,0.8539999999999999,0.8240000000000001,0.783,0.777,0.8095000000000001
31,0.7515000000000001,0.7899999999999999,0.9085000000000001,0.8654999999999999,0.7925,0.758,0.8495000000000001,0.7895000000000001
30,0.7394999999999999,0.8084999999999999,0.9299999999999999,0.8785000000000001,0.7925000000000001,0.806,0.7525000000000001,0.7755
29,0.7539999999999999,0.7855,0.9174999999999999,0.8455,0.6984999999999999,0.7915,0.744,0.7505
28,0.6735,0.746,0.9179999999999999,0.8795,0.8100000000000002,0.7885000000000001,0.785,0.7310000000000001
27,0.745,0.791,0.9019999999999999,0.7945,0.7675,0.8119999999999999,0.8230000000000001,0.7775000000000001
26,0.7,0.7645,0.9135,0.866,0.7335,0.7725000000000001,0.7805,0.7619999999999999
25,0.704,0.783,0.9,0.8455,0.6950000000000001,0.8095000000000001,0.793,0.7184999999999999
24,0.6475,0.7625,0.892,0.8394999999999999,0.7205,0.717,0.7605000000000001,0.7065
23,0.68,0.8220000000000001,0.9014999999999999,0.827,0.731,0.786,0.6705,0.6940000000000001
22,0.7345,0.757,0.9045,0.853,0.7845,0.7270000000000001,0.7075,0.7575000000000001
21,0.7254999999999999,0.7945,0.897,0.808,0.6054999999999999,0.711,0.7555000000000001,0.7484999999999999
20,0.6920000000000001,0.795,0.8860000000000001,0.7715,0.6569999999999999,0.7555,0.695,0.671
19,0.708,0.6315,0.8835000000000001,0.8029999999999999,0.6895,0.6990000000000001,0.703,0.7064999999999999
18,0.6584999999999999,0.767,0.8425,0.788,0.609,0.6655,0.734,0.6485
17,0.7545,0.721,0.8909999999999998,0.7585000000000001,0.6495,0.624,0.7285,0.709
16,0.633,0.7019999999999998,0.8795,0.724,0.6465,0.6859999999999999,0.6905000000000001,0.7024999999999999
15,0.7394999999999999,0.728,0.8495000000000001,0.762,0.5449999999999999,0.712,0.647,0.701
14,0.651,0.748,0.8135,0.6969999999999998,0.625,0.6605,0.666,0.6064999999999999
13,0.6335,0.7275,0.8484999999999999,0.7645000000000001,0.6115,0.7344999999999999,0.622,0.607
12,0.5795000000000001,0.6445,0.851,0.735,0.6825,0.611,0.726,0.71
11,0.6359999999999999,0.635,0.8355,0.7060000000000001,0.577,0.6784999999999999,0.5845,0.6855
10,0.5825,0.6794999999999999,0.8310000000000001,0.7084999999999999,0.5345,0.637,0.5664999999999999,0.6114999999999999
9,0.6059999999999999,0.6765000000000001,0.8065,0.681,0.635,0.612,0.637,0.679
8,0.5579999999999999,0.6525,0.7785,0.6504999999999999,0.5549999999999999,0.633,0.6285000000000001,0.61
7,0.6,0.612,0.743,0.6435,0.5025000000000001,0.6535000000000001,0.659,0.6075
6,0.5365,0.6559999999999999,0.758,0.59,0.534,0.5765,0.5589999999999999,0.5195000000000001
5,0.656,0.5925,0.6955,0.6100000000000001,0.4795,0.5745000000000001,0.533,0.5765
